Component,Name,Version,
"dns-mgmt;bindconfig;1.1.5"
"dns-mgmt;linuxconfig;1.2.3"
"fw-smc;Filebeat;7.17.1 "
"fw-smc;linuxconfig;1.2.3"
"fw-smc;Linux kernel;3.10.0-1160.15.3.el1.x86_64"
"fw-smc;OpenSSH;7.4p1"
"fw-smc;OpenSSL;1.0.2"
"internal-dns-ns;bindconfig;1.1.4"
"internal-dns-ns;linuxconfig;1.2.3"
"internal-dns-r;bindconfig;1.1.4"
"internal-dns-r;linuxconfig;1.2.3"
"internal-geo;Docker;19.03.8"
"internal-geo;GeoServer;2.17.3"
"internal-geo;Java;8u212"
"internal-geo;Tomcat;9.0.20"
"internal-openvas;Docker;1.13.1"
"internal-openvas;Filebeat;8.5.0 "
"internal-openvas;F-Secure Linux Security;12.0.35"
"internal-openvas;Greenbone Vulnerability Manager;21.4.5"
"internal-openvas;GV Manager rev;242"
"internal-openvas;gvm-libs;21.4.4"
"internal-openvas;linuxconfig;1.2.3"
"internal-openvas;Linux kernel;3.10.0-1160.76.1.el7.x86_64"
"internal-openvas;NGINX;1.20.1"
"internal-openvas;OpenSSH;7.4p1"
"internal-openvas;OpenSSL;1.0.2"
"internal-openvas;OpenVAS;21.4.4"
"internal-sharing;Apache;2.4.8"
"internal-sharing;Filebeat;8.3.3 "
"internal-sharing;F-Secure Linux Security;12.0.35"
"internal-sharing;Linux kernel;3.10.0-1160.76.1.el7.x86_64"
"internal-sharing;MariaDB;10.8.2"
"internal-sharing;Nextcloud;24.0.4"
"internal-sharing;Nextcloud Group Folders app;12.0.1"
"internal-sharing;Nextcloud OICD Login app;2.3.2"
"internal-sharing;OpenSSH;7.4p1"
"internal-sharing;OpenSSL;1.0.2"
"internal-sharing;PHP;7.4.27"
"mgmt-chat;Apache;2.4.6"
"mgmt-chat;Filebeat;8.3.3 "
"mgmt-chat;F-Secure Linux Security;12.0.40"
"mgmt-chat;linuxconfig;1.2.3"
"mgmt-chat;Linux kernel;3.10.0-1160.76.1.el7.x86_64"
"mgmt-chat;MongoDB;4.2.22"
"mgmt-chat;NodeJs;14.20.0"
"mgmt-chat;OpenSSH;7.4p1"
"mgmt-chat;OpenSSL;1.0.2"
