
dns-mgmt;bindconfig-1;2.1.1
dns-mgmt;Chrony;3.4
dns-mgmt;Filebeat;7.15.1
dns-mgmt;FirewallD;0.6.3
dns-mgmt;F-Secure Linux Security;12.0.50
dns-mgmt;linuxconfig-7;2.1.1
dns-mgmt;Linux kernel;3.10.0-1160.53.1.el7.x86_64
dns-mgmt;OpenJDK;11.0.17
dns-mgmt;OpenSSH;7.4p1
dns-mgmt;OpenSSL;1.0.2k-fips
dns-mgmt;Rsyslog;8.24.0
dns-mgmt;Zulu OpenJDK 64-Bit Server;11.60
dns-mgmt;Zulu OpenJDK RTE;11.60
ext-srv-esxi;BIOS version;U32
ext-srv-esxi;Enclosure SN;CZJ906029B
ext-srv-esxi;Product Name;ProLiant DL360 Gen10
firewall1;Forcepoint NGFW;6.10.11
firewall1;Product name;1101-0-C1
firewall1;Serial number;N0C2902071
firewall1;STONE-ID;0b872bb16e-d5248cfc2a-0133.00-6.3.0
firewall2;Forcepoint NGFW;6.10.11
firewall2;Product name;1101-1-C1
firewall2;Serial number;N0C2A4600152
firewall2;STONE-ID;0e9344a86f-b7e9f904be-0133.01-6.3.0
firewall3;Forcepoint NGFW;6.10.11
firewall3;Product name;1101-0-C1
firewall3;Serial number;N0C2902073
firewall3;STONE-ID;4eac3372d0-04a3741d86-0133.00-6.3.0
fw-smc;Chrony;3.4
fw-smc;Filebeat;7.15.1
fw-smc;FirewallD;0.6.3
fw-smc;F-Secure Linux Security;12.0.50
fw-smc;linuxconfig-24;2.1.1
fw-smc;Linux kernel;3.10.0-1160.53.1.el7.x86_64
fw-smc;OpenSSH;7.4p1
fw-smc;OpenSSL;1.0.2k-fips
fw-smc;Rsyslog;8.24.0
internal-ca;Chrony;3.4
internal-ca;Filebeat;7.15.1
internal-ca;FirewallD;0.6.3
internal-ca;F-Secure Linux Security;12.0.50
internal-ca;internal-ca-ca-server-1;2.6.0
internal-ca;linuxconfig-2;2.1.1
internal-ca;Linux kernel;3.10.0-1160.53.1.el7.x86_64
internal-ca;OpenSSH;7.4p1
internal-ca;OpenSSL;1.0.2k-fips
internal-ca;Rsyslog;8.24.0
internal-chat;Chrony;3.4
internal-chat;Filebeat;7.15.1
internal-chat;FirewallD;0.6.3
internal-chat;F-Secure Linux Security;12.0.50
internal-chat;linuxconfig-15;2.1.1
internal-chat;Linux kernel;3.10.0-1160.53.1.el7.x86_64
internal-chat;OpenJDK;11.0.17
internal-chat;OpenSSH;7.4p1
internal-chat;OpenSSL;1.0.2k-fips
internal-chat;Prosody;0.11.1
internal-chat;prosody-configurator-internal-1;2.1.0
internal-chat;Rsyslog;8.24.0
internal-chat;xmpp-manager-internal-1;3.0.0
internal-chat;xmpp-proxy-internal-1;2.0.0
internal-chat;Zulu OpenJDK 64-Bit Server;11.60
internal-chat;Zulu OpenJDK RTE;11.60
internal-cm;call-manager-integration-server-1;2.0.3
internal-cm;Chrony;3.4
internal-cm;Filebeat;7.15.1
internal-cm;FirewallD;0.6.3
internal-cm;Freeswitch;1.10.5
internal-cm;F-Secure Linux Security;12.0.50
internal-cm;linuxconfig-14;2.1.1
internal-cm;Linux kernel;3.10.0-1160.53.1.el7.x86_64
internal-cm;OpenJDK;11.0.17
internal-cm;OpenSSH;7.4p1
internal-cm;OpenSSL;1.0.2k-fips
internal-cm;Rsyslog;8.24.0
internal-cm;Zulu OpenJDK 64-Bit Server;11.60
internal-cm;Zulu OpenJDK RTE;11.60
internal-core;alarm-server-1;4.1.3
internal-core;battlespace-events-server-1;2.0.2
internal-core;calendar-server-1;2.0.4
internal-core;Chrony;3.4
internal-core;contentrepo-server-1;2.1.1
internal-core;eventsrv-1;5.1.2
internal-core;Filebeat;7.15.1
internal-core;file-web-server-2;2.0.1
internal-core;FirewallD;0.6.3
internal-core;F-Secure Linux Security;12.0.50
internal-core;help-web-server-1;2.0.0
internal-core;internal-core-provisioning-server-1;2.1.1
internal-core;internal-core-ucm-osgi-server-1;2.1.2
internal-core;linuxconfig-1;2.1.1
internal-core;Linux kernel;3.10.0-1160.53.1.el7.x86_64
internal-core;object-storage-server-1;2.1.2
internal-core;OpenJDK;11.0.17
internal-core;OpenSSH;7.4p1
internal-core;OpenSSL;1.0.2k-fips
internal-core;orbat-server-1;2.0.1
internal-core;PostgreSQL;13.3
internal-core;Rsyslog;8.24.0
internal-core;track-server-X-1;2.0.0
internal-core;udm-server-1;5.1.0
internal-core;wardiary-srv-1;2.0.0
internal-core;Zulu OpenJDK 64-Bit Server;11.60
internal-core;Zulu OpenJDK RTE;11.60
internal-dns-ns;bindconfig-3;2.1.1
internal-dns-ns;Chrony;3.4
internal-dns-ns;Filebeat;7.15.1
